,id,topic_id,timestamp,data
54,55,1,1643988692093423065,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988692, nanosec=92958059), level=20, name='minimal_publisher', msg=""Publishing: '20'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
55,56,3,1643988692093634538,std_msgs.msg.Int32(data=20)
56,57,6,1643988692130865530,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=199100000))"
57,58,6,1643988692231671292,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=209000000))"
58,59,6,1643988692332752862,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=218800000))"
59,60,6,1643988692432935129,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=229000000))"
60,61,6,1643988692533323371,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=239100000))"
61,62,6,1643988692633649966,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=249100000))"
62,63,6,1643988692733744989,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=259100000))"
63,64,6,1643988692834719470,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=269200000))"
64,65,1,1643988692898517209,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988692, nanosec=898220348), level=20, name='dc_motor', msg=""Publishing velocity: '40.965580'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
65,66,1,1643988692898648784,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988692, nanosec=898280546), level=20, name='dc_motor', msg=""Publishing current: '2.195952'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
66,67,4,1643988692898700516,std_msgs.msg.Float32(data=40.965579986572266)
67,68,5,1643988692898742732,std_msgs.msg.Float32(data=2.1959517002105713)
68,69,6,1643988692934742085,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=279100000))"
69,70,6,1643988693035892454,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=288900000))"
70,71,1,1643988693093554986,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988693, nanosec=93056348), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
71,72,3,1643988693093908583,std_msgs.msg.Int32(data=100)
72,73,6,1643988693136001492,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=298700000))"
73,74,6,1643988693236409094,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=308600000))"
74,75,6,1643988693336977966,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=318600000))"
75,76,6,1643988693436852657,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=328600000))"
76,77,6,1643988693537881497,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=338600000))"
77,78,6,1643988693638233334,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=348500000))"
78,79,6,1643988693738683096,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=358500000))"
79,80,6,1643988693838584216,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=368400000))"
80,81,1,1643988693898991927,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988693, nanosec=898271039), level=20, name='dc_motor', msg=""Publishing velocity: '116.393066'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
81,82,4,1643988693899364312,std_msgs.msg.Float32(data=116.39306640625)
82,83,1,1643988693899547118,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988693, nanosec=898464073), level=20, name='dc_motor', msg=""Publishing current: '11.421638'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
83,84,5,1643988693899684591,std_msgs.msg.Float32(data=11.421638488769531)
84,85,6,1643988693938569961,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=378400000))"
