velocityx,velocityy,velocityz, attitudew,attitudex,attitudey,attitudez,error attitudew,error attitudex,error attitudey,error attitudez, filtered velocityx,filtered velocityy,filtered velocityz, filtered attitudew,filtered attitudex,filtered attitudey,filtered attitudez, sliding variablex,sliding variabley, sliding variablez, control signalx,control signaly,control signalz 
0.00758459,0.00561573,-0.0105415,0.999872,0.0117484,0.0087172,-0.00653675,-0.64319,0.166083,-0.738902,-0.112904,0.00742112,0.00540815,-0.0119262,1,-8.0094e-05,0.000101838,9.99383e-05,-4.97508,22.1725,3.37519,5.0183e-06,8.4633e-06,-8.92803e-06
0.0124119,0.0173309,-0.00169099,0.999977,-0.00658667,-0.000807413,0.00147008,-0.643189,0.166087,-0.738903,-0.112899,0.0127999,0.0182579,-0.000895815,1,-7.87613e-05,0.000104452,9.39033e-05,-4.96982,22.1853,3.38606,1.04371e-05,2.13914e-05,1.92129e-06
0.0164772,-0.00257587,0.00196322,0.999826,0.00855936,0.00607661,-0.0154028,-0.643182,0.166087,-0.738911,-0.112884,0.0167646,-0.00420124,0.00218654,1,-6.79779e-05,0.00011713,8.6816e-05,-4.96585,22.1631,3.3887,1.47252e-05,-6.87344e-07,4.79102e-06
-0.00447406,0.00571757,-0.00285666,0.999946,0.00976005,0.000509617,-0.00362259,-0.643186,0.166078,-0.738911,-0.112874,-0.00613784,0.00649486,-0.00325172,1,-5.4518e-05,0.000114962,8.64648e-05,-4.98849,22.1738,3.38297,-7.77338e-06,9.94371e-06,-6.57776e-07
-0.00804423,0.00455219,-0.00190206,0.999605,0.000398535,0.00378347,0.027854,-0.64318,0.166074,-0.738916,-0.112882,-0.00819452,0.00439976,-0.00179612,1,-5.77359e-05,0.000120108,9.63065e-05,-4.99041,22.1719,3.38466,-9.9266e-06,8.00299e-06,1.09307e-06
0.00422682,0.00192875,0.000517619,0.999271,0.0368201,-0.00764902,-0.00656665,-0.643183,0.166069,-0.738916,-0.112872,0.00520713,0.00173397,0.000700245,1,-4.69128e-05,0.000119313,9.2531e-05,-4.97688,22.1692,3.38685,3.79975e-06,5.31335e-06,3.47618e-06
-0.00774312,0.0110284,-0.0130858,0.999777,-0.00116584,-0.0205092,-0.00494213,-0.643189,0.166068,-0.738911,-0.11287,-0.0087685,0.0117647,-0.0141773,1,-4.4485e-05,0.000111725,9.08332e-05,-4.99082,22.1791,3.37192,-1.01031e-05,1.51165e-05,-1.14523e-05
-0.00965392,-0.0167131,0.00766859,0.999972,-0.00439469,-0.0050556,0.00342204,-0.643186,0.166078,-0.738912,-0.11287,-0.00972468,-0.0189746,0.00940338,1,-5.11465e-05,0.000116129,8.4333e-05,-4.99206,22.1484,3.39551,-1.12591e-05,-1.54907e-05,1.19334e-05
0.00488942,-0.0139294,-0.0106949,0.999943,0.00828349,-0.00661056,-0.00109837,-0.643195,0.166074,-0.738904,-0.112877,0.00605303,-0.013528,-0.0122954,1,-5.31288e-05,0.000102833,8.90683e-05,-4.97617,22.1536,3.37401,4.45917e-06,-1.04431e-05,-9.6233e-06
0.00430299,-0.00804156,-0.000197189,0.99988,0.0129136,-0.00552081,-0.00650264,-0.643204,0.166075,-0.738897,-0.112866,0.00416347,-0.0076038,0.000768591,1,-4.44719e-05,9.30234e-05,7.95482e-05,-4.97807,22.1593,3.38675,2.82931e-06,-4.8131e-06,3.15504e-06
0.0156925,0.0084494,-0.00166991,0.999843,0.00611069,-0.0113192,-0.0121977,-0.643212,0.166074,-0.738891,-0.112861,0.0166156,0.00973455,-0.00186501,1,-3.9657e-05,8.416e-05,7.49825e-05,-4.9656,22.1765,3.38396,1.54259e-05,1.22593e-05,3.84467e-07
0.0105477,-0.0023793,-0.00312158,0.999874,0.00595066,0.00575875,-0.013542,-0.643209,0.166072,-0.738896,-0.112847,0.0100614,-0.00335089,-0.00322239,1,-2.80029e-05,9.18639e-05,6.84322e-05,-4.9721,22.1635,3.38218,9.22127e-06,-5.94978e-07,-1.16942e-06
-0.00776092,0.000684504,0.00174314,0.999854,-0.00502774,0.0150638,-0.0063678,-0.643207,0.166073,-0.738899,-0.112841,-0.00919379,0.00100889,0.00214249,1,-2.44335e-05,9.6045e-05,6.40458e-05,-4.9914,22.168,3.38736,-9.9268e-06,3.89024e-06,4.06386e-06
-0.00533844,-0.00629927,-0.00654468,0.999603,0.0078377,-0.0267705,-0.00395331,-0.643214,0.166074,-0.738892,-0.112843,-0.00502814,-0.00688817,-0.00724455,1,-2.63771e-05,8.57998e-05,6.36194e-05,-4.98724,22.1599,3.37806,-5.81946e-06,-4.31417e-06,-5.33597e-06
-0.0161581,0.000291777,-0.00922506,0.999965,-0.00255175,0.00766395,0.00228979,-0.643215,0.166079,-0.73889,-0.112844,-0.0170568,0.000871204,-0.00938517,1,-3.01819e-05,8.50133e-05,6.04885e-05,-4.99941,22.1676,3.37595,-1.79623e-05,3.4216e-06,-7.57052e-06
0.0111545,0.0108207,-0.00419865,0.999892,0.013039,-0.00618806,-0.00262217,-0.643216,0.166086,-0.738888,-0.112844,0.0134353,0.0116254,-0.00377951,1,-3.44295e-05,8.299e-05,5.42033e-05,-4.96913,22.1783,3.38154,1.24024e-05,1.41151e-05,-2.15341e-06
0.00139433,-0.0139949,0.000556342,0.999829,-0.0036099,-0.014541,0.0108401,-0.643217,0.16608,-0.738889,-0.112841,0.000419514,-0.0160696,0.000907414,1,-2.83935e-05,8.36151e-05,5.64053e-05,-4.98199,22.1506,3.38613,-4.32289e-07,-1.35611e-05,2.59957e-06
0.000407353,-0.0005147,-0.00890115,0.999574,-0.0234331,0.00423414,-0.0168808,-0.643221,0.16609,-0.738882,-0.112845,0.000406213,0.000746652,-0.00969686,1,-3.74684e-05,7.63414e-05,5.01737e-05,-4.98229,22.1672,3.37564,-7.1784e-07,3.03689e-06,-8.19165e-06
0.0040899,-0.00029937,0.00374265,0.999894,0.0136267,0.00244083,0.0045214,-0.643221,0.166089,-0.738883,-0.112838,0.00438905,-0.000384243,0.00483411,1,-3.18212e-05,7.76943e-05,4.65628e-05,-4.97828,22.1661,3.38997,3.43441e-06,1.94659e-06,6.231e-06
-0.00637347,-0.000205625,-0.0115626,0.99999,0.00364705,-0.000664105,0.0025127,-0.643222,0.166084,-0.738884,-0.112837,-0.00724881,-0.000191028,-0.0128962,1,-2.79275e-05,7.7187e-05,5.02241e-05,-4.98976,22.1663,3.37223,-8.08663e-06,2.12458e-06,-1.13895e-05
0.00450523,-0.0164799,0.00488305,0.999868,-0.0159596,0.00286858,0.000598463,-0.64322,0.166096,-0.738882,-0.11284,0.00546235,-0.0178065,0.00633064,1,-3.82466e-05,7.81839e-05,4.32788e-05,-4.97741,22.1487,3.39154,4.31495e-06,-1.5461e-05,7.629e-06
0.00549872,0.00221166,-0.00128566,0.999945,0.0084862,0.00581293,0.00186796,-0.643227,0.166088,-0.738879,-0.11284,0.0055019,0.00384336,-0.0019064,1,-3.18523e-05,7.05562e-05,4.7514e-05,-4.97712,22.1702,3.38328,4.54633e-06,5.96005e-06,-4.80986e-07
0.0292539,0.00436568,0.0136827,0.999711,-0.00891331,0.00895197,0.0204721,-0.643222,0.166083,-0.738883,-0.112844,0.0311929,0.00440849,0.014955,1,-3.22926e-05,7.61867e-05,5.4496e-05,-4.95131,22.1709,3.40026,3.02241e-05,6.69409e-06,1.65899e-05
-0.00416125,-0.00465305,-0.0107188,0.999868,-0.0138999,-0.00792535,0.00273881,-0.643223,0.166069,-0.738886,-0.112841,-0.00704886,-0.00539324,-0.0128159,1,-2.04203e-05,7.5489e-05,6.38577e-05,-4.98911,22.1612,3.37241,-7.66147e-06,-3.12857e-06,-1.09002e-05
-0.00350257,0.00829432,-0.00651898,0.999952,-0.0019105,-0.00959975,0.000855063,-0.643228,0.166076,-0.73888,-0.112841,-0.00321283,0.00941368,-0.00600442,1,-2.50761e-05,6.86977e-05,5.70508e-05,-4.98549,22.1758,3.37923,-3.96511e-06,1.14746e-05,-4.2929e-06
-0.0220256,0.0131785,-0.0106995,0.999773,1.38555e-05,0.0188898,-0.00989349,-0.643219,0.166084,-0.738887,-0.112836,-0.0235657,0.0134872,-0.011084,1,-2.68443e-05,8.13012e-05,4.98169e-05,-5.00608,22.1801,3.37399,-2.4371e-05,1.59263e-05,-9.5895e-06
0.00125486,0.0119088,-0.00125058,0.999761,-0.00715363,-0.00615165,0.0197173,-0.643213,0.166093,-0.738888,-0.112848,0.00328727,0.0117802,-0.000445515,1,-4.27192e-05,8.63526e-05,5.13581e-05,-4.97952,22.1784,3.38498,2.0057e-06,1.43708e-05,1.09523e-06
-0.00177004,-0.0130679,-0.0106347,0.999745,0.0170384,0.00267155,0.014603,-0.643208,0.166085,-0.738895,-0.112844,-0.00218448,-0.0151045,-0.0114699,1,-3.42162e-05,9.39053e-05,5.67995e-05,-4.98473,22.1517,3.37384,-3.21096e-06,-1.22873e-05,-9.76593e-06
-0.00365882,-0.00511186,0.0125298,0.99968,-0.0181312,0.0108693,-0.0139187,-0.643211,0.166098,-0.738889,-0.112843,-0.00377982,-0.00429262,0.0144984,1,-4.24955e-05,8.9725e-05,4.49728e-05,-4.98673,22.1624,3.39978,-5.05469e-06,-1.60087e-06,1.58476e-05
0.00428591,0.00554479,0.00268703,0.999633,0.0243894,-0.00412369,0.0110232,-0.643214,0.166084,-0.73889,-0.112846,0.00494802,0.0063523,0.00171808,1,-3.50656e-05,8.56973e-05,5.73064e-05,-4.97757,22.173,3.38709,3.89605e-06,8.92322e-06,3.43727e-06
-0.00344661,0.00524151,-0.000694308,0.999864,0.00495032,-0.011523,0.0107162,-0.643215,0.166077,-0.738891,-0.112846,-0.00413607,0.00515069,-0.000892393,1,-3.0375e-05,8.4701e-05,6.24144e-05,-4.98645,22.1719,3.38448,-5.04732e-06,7.69172e-06,9.8004e-07
0.0119552,-0.0166303,-0.00312609,0.999912,0.00376228,-0.00947088,-0.00845526,-0.643216,0.16608,-0.738889,-0.112844,0.0132776,-0.0184203,-0.0033097,1,-3.11953e-05,8.38415e-05,5.86025e-05,-4.96914,22.1483,3.38201,1.23417e-05,-1.59051e-05,-1.55163e-06
-0.0191839,0.00260271,0.0127734,0.999604,0.000726801,-0.00211041,0.0280358,-0.643224,0.166068,-0.738884,-0.112846,-0.021853,0.00433095,0.0140958,1,-2.35277e-05,7.27582e-05,6.76485e-05,-5.00388,22.1709,3.39948,-2.25588e-05,6.5137e-06,1.61253e-05
-0.00259933,0.00130993,-0.000627293,0.999949,-0.00928102,-0.00116091,0.00383053,-0.643219,0.166071,-0.738885,-0.112863,-0.00101614,0.0010616,-0.001838,1,-3.92626e-05,7.46845e-05,7.69385e-05,-4.98315,22.1676,3.38406,-2.19402e-06,3.30213e-06,4.70152e-07
-0.0151522,0.00696528,-0.0148342,0.999962,0.00632746,-0.00468398,-0.00377538,-0.643221,0.166072,-0.738884,-0.112861,-0.016316,0.00745143,-0.0159039,1,-3.73539e-05,7.34258e-05,7.44212e-05,-4.99846,22.174,3.36991,-1.74366e-05,9.65421e-06,-1.36713e-05
0.00342281,-0.0125365,-0.00355456,0.999966,0.00103195,0.00271136,0.00766601,-0.643216,0.166082,-0.738886,-0.112862,0.00504764,-0.0141822,-0.00253808,1,-4.59991e-05,7.85891e-05,6.85353e-05,-4.97741,22.1524,3.38333,3.66767e-06,-1.18245e-05,-4.82023e-07
-0.0138365,-0.00488168,-0.00161273,0.999703,-0.00781468,0.0190526,0.0130376,-0.643216,0.166079,-0.738886,-0.112865,-0.0153921,-0.00411604,-0.00153658,1,-4.62103e-05,7.80739e-05,7.21568e-05,-4.99777,22.1625,3.38441,-1.67785e-05,-1.77383e-06,6.28128e-07
0.0124727,-0.0186023,-0.000641226,0.999854,-0.00469677,0.0162172,-0.00266242,-0.643211,0.166088,-0.738887,-0.112871,0.0147685,-0.0197961,-0.00056743,1,-5.65617e-05,8.20463e-05,7.02425e-05,-4.96787,22.1468,3.38555,1.30716e-05,-1.73347e-05,1.53985e-06
0.010605,-0.00632075,-0.0148181,0.99988,0.00999815,-0.0102365,0.00593536,-0.643224,0.166077,-0.738879,-0.112865,0.0102622,-0.00521042,-0.015993,1,-4.44647e-05,6.70538e-05,7.22e-05,-4.97205,22.1612,3.36997,8.92826e-06,-3.19881e-06,-1.3827e-05
0.021612,-0.00353105,-0.0129144,0.999941,0.0108454,0.000602052,0.000481306,-0.643229,0.166077,-0.738877,-0.112853,0.0225484,-0.00339267,-0.0126611,1,-3.45476e-05,6.43674e-05,6.34771e-05,-4.95975,22.1629,3.37293,2.1512e-05,-1.46165e-06,-1.07568e-05
0.00669565,-0.0081655,0.0112284,0.999967,0.00201776,0.00770401,0.0016782,-0.643231,0.166073,-0.738878,-0.112839,0.0053887,-0.00855935,0.0131988,1,-2.12309e-05,6.54403e-05,5.70721e-05,-4.9768,22.1578,3.39836,4.75177e-06,-6.59614e-06,1.49109e-05
0.0104765,-0.0203197,0.00427921,0.999861,-0.00518417,-0.00524055,0.0149375,-0.643235,0.166062,-0.738876,-0.112848,0.0108965,-0.0212905,0.00354384,1,-2.02371e-05,5.86334e-05,7.01605e-05,-4.97096,22.145,3.38897,1.02894e-05,-1.95315e-05,5.64865e-06
0.0197864,-0.0032731,-0.00746048,0.999966,-0.00806338,-0.00153165,-3.45621e-05,-0.643244,0.166057,-0.738869,-0.112849,0.0205207,-0.00178665,-0.00836858,1,-1.72979e-05,4.61945e-05,7.2088e-05,-4.9612,22.1643,3.3771,2.00017e-05,-4.00818e-07,-6.20594e-06
0.000167865,-0.0129429,-0.000313947,0.999788,-0.00326478,0.0142037,0.0145432,-0.643243,0.166051,-0.738873,-0.112841,-0.00151235,-0.0138636,0.000351263,1,-7.15726e-06,5.06762e-05,7.30367e-05,-4.98303,22.1523,3.38559,-1.72707e-06,-1.23433e-05,2.54236e-06
0.00211215,0.00730484,0.000290163,0.999834,0.00410784,-0.00635909,-0.0165579,-0.643251,0.166054,-0.738865,-0.112838,0.00241259,0.00905371,0.000284526,1,-6.40701e-06,4.04998e-05,6.6803e-05,-4.97919,22.175,3.38543,2.22038e-06,1.02687e-05,2.28862e-06
0.00981038,-0.0130467,0.00979634,0.999684,0.0175819,-0.0117598,0.0135695,-0.643251,0.166044,-0.738868,-0.112836,0.0104213,-0.0148723,0.0105824,1,1.72967e-06,4.09679e-05,7.21787e-05,-4.97091,22.1512,3.39565,1.04732e-05,-1.36432e-05,1.27477e-05
-0.00928411,0.00116746,0.00698934,0.999916,-6.07728e-05,0.0064141,-0.0112334,-0.643256,0.166039,-0.738865,-0.112833,-0.0109117,0.00249204,0.00669307,1,7.49182e-06,3.51705e-05,7.36882e-05,-4.99208,22.1684,3.39169,-1.06869e-05,3.54716e-06,8.90371e-06
0.0121364,0.000293463,-0.015313,0.999702,-0.017159,0.0173376,0.000258919,-0.643248,0.166045,-0.738869,-0.112844,0.0140404,0.000111986,-0.0171311,1,-5.19808e-06,4.32373e-05,7.74767e-05,-4.96731,22.1662,3.36818,1.38844e-05,1.40911e-06,-1.48068e-05
-0.00258348,-0.0242359,0.00352318,0.999925,0.00791978,-0.0018026,0.00918879,-0.643251,0.166043,-0.738869,-0.112832,-0.0039569,-0.0262481,0.00522952,1,5.65926e-06,4.2586e-05,7.14817e-05,-4.98523,22.1398,3.39019,-3.78712e-06,-2.49705e-05,7.37397e-06
-0.00529292,-0.00560311,0.00842888,0.999599,-0.0117057,0.0174815,0.0189503,-0.643254,0.166038,-0.738865,-0.112845,-0.00540358,-0.00389749,0.00869375,1,-1.06015e-06,3.4741e-05,8.16734e-05,-4.98656,22.162,3.39404,-5.43539e-06,-2.85526e-06,1.1144e-05
-0.0121794,-0.000196768,-0.0116262,0.999972,0.00515491,0.00513314,0.00195298,-0.643254,0.166035,-0.738866,-0.112849,-0.0127398,0.000109052,-0.0133057,1,-2.07153e-06,3.45445e-05,8.72233e-05,-4.99379,22.1661,3.37217,-1.28019e-05,1.14539e-06,-1.0689e-05
-0.0073285,0.0024045,0.00481465,0.999726,-0.0103601,0.00194992,0.0209119,-0.643251,0.166042,-0.738865,-0.112858,-0.00688169,0.00259433,0.00631262,1,-1.3143e-05,3.53448e-05,8.7869e-05,-4.98813,22.1685,3.39204,-7.27598e-06,3.65467e-06,8.9487e-06
-0.00763965,0.00112865,-0.00945994,0.999997,0.00207189,0.000886755,-0.000152682,-0.643249,0.166041,-0.738866,-0.112862,-0.00770264,0.00100759,-0.0107639,1,-1.61603e-05,3.71142e-05,9.12816e-05,-4.98894,22.167,3.37509,-8.18745e-06,2.12102e-06,-8.02545e-06
0.000898963,0.0034855,-0.00977779,0.999636,0.0227838,0.00790016,-0.0120865,-0.643248,0.166047,-0.738867,-0.112851,0.00161016,0.00369059,-0.00969664,1,-1.16433e-05,4.07072e-05,8.06065e-05,-4.97979,22.1697,3.37583,1.26086e-06,4.9118e-06,-7.27844e-06
-0.0152784,0.00159763,0.00194286,0.999946,-0.00750135,-0.00297015,0.00660339,-0.643248,0.16605,-0.738867,-0.11285,-0.0166752,0.00142472,0.00290527,1,-1.36374e-05,4.15955e-05,7.77373e-05,-4.99818,22.1674,3.38842,-1.70844e-05,2.67259e-06,5.23739e-06
0.00943151,-0.00623064,0.0103254,0.99996,0.000366862,-0.0016655,0.00874938,-0.643246,0.166052,-0.738867,-0.11286,0.0115896,-0.00686503,0.0109399,1,-2.27515e-05,4.17292e-05,8.2694e-05,-4.96998,22.1591,3.39675,1.09071e-05,-5.61315e-06,1.34207e-05
0.0024552,0.00313401,-0.0202348,0.999878,0.0115203,-0.00802969,0.00687178,-0.643251,0.166038,-0.738865,-0.112859,0.00169908,0.00396122,-0.0228133,1,-1.18656e-05,3.48043e-05,9.13867e-05,-4.97945,22.1699,3.36296,1.34311e-06,5.00535e-06,-2.00717e-05
